_id,comment,topic,polarity,confidence,related_text,review_id
680af07990094dcb8b884768,外观精致美观，音质好，喜欢的可以入。,外观设计,好评,0.9,外观精致美观,bd8ea73b-e74c-4f95-ba4f-e10deed273ce
680af07990094dcb8b884768,外观精致美观，音质好，喜欢的可以入。,音质,好评,0.8,音质好,bd8ea73b-e74c-4f95-ba4f-e10deed273ce
680af07a90094dcb8b884769,是正品，功能很齐全，价格不贵，值得购买，特别满意,authenticity,好评,0.9,是正品,c654ac42-e681-4dcf-abb5-e3c272d4d5d2
680af07a90094dcb8b884769,是正品，功能很齐全，价格不贵，值得购买，特别满意,features,好评,0.8,功能很齐全,c654ac42-e681-4dcf-abb5-e3c272d4d5d2
680af07a90094dcb8b884769,是正品，功能很齐全，价格不贵，值得购买，特别满意,price,好评,0.7,价格不贵,c654ac42-e681-4dcf-abb5-e3c272d4d5d2
680af07b90094dcb8b88476a,"音质音效：非常好，轻便小巧，用起来也是非常的方便，音质音效也很好，
安装难易：容易",音质,好评,0.9,非常好，音质音效也很好,1fdd93e6-78e7-49b4-8b77-917c212d5c54
680af07b90094dcb8b88476a,"音质音效：非常好，轻便小巧，用起来也是非常的方便，音质音效也很好，
安装难易：容易",便携性,好评,0.8,轻便小巧，用起来也是非常的方便,1fdd93e6-78e7-49b4-8b77-917c212d5c54
680af07b90094dcb8b88476a,"音质音效：非常好，轻便小巧，用起来也是非常的方便，音质音效也很好，
安装难易：容易",安装难易,好评,0.7,容易,1fdd93e6-78e7-49b4-8b77-917c212d5c54
680af07d90094dcb8b88476c,很好，买了这个，同事都问要链接。,Sound Quality,好评,0.85,很好，买了这个,83e5ff30-2960-4606-aadf-47b556c273eb
680af07d90094dcb8b88476c,很好，买了这个，同事都问要链接。,Portability,好评,0.75,便携式,83e5ff30-2960-4606-aadf-47b556c273eb
680af07e90094dcb8b88476d,很漂亮，很喜欢，值得购买,外观设计,好评,0.9,很漂亮,d5887505-ecec-47a6-99dc-44706857ca8b
680af07e90094dcb8b88476d,很漂亮，很喜欢，值得购买,音质表现,好评,0.8,很喜欢,d5887505-ecec-47a6-99dc-44706857ca8b
680af07e90094dcb8b88476e,领夹耳麦还挺洋气的，哈哈哈，声音也挺大的。颜值也还行,外观设计,好评,0.8,还挺洋气的，颜值也还行,fd25d589-0745-4756-99a8-39b8e99ddd30
680af07e90094dcb8b88476e,领夹耳麦还挺洋气的，哈哈哈，声音也挺大的。颜值也还行,音质表现,好评,0.75,声音也挺大的,fd25d589-0745-4756-99a8-39b8e99ddd30
680af08090094dcb8b88476f,京东发货速度杠杠的，第二天上午就到了，直接使用上，小巧玲珑可爱型的，颜色好看，麦克风打开减轻声带负担，棒棒哒！,Delivery Speed,好评,0.95,京东发货速度杠杠的，第二天上午就到了,78d447b9-edd4-4477-8008-4a7d1be5112e
680af08090094dcb8b88476f,京东发货速度杠杠的，第二天上午就到了，直接使用上，小巧玲珑可爱型的，颜色好看，麦克风打开减轻声带负担，棒棒哒！,Design & Appearance,好评,0.85,小巧玲珑可爱型的，颜色好看,78d447b9-edd4-4477-8008-4a7d1be5112e
680af08090094dcb8b88476f,京东发货速度杠杠的，第二天上午就到了，直接使用上，小巧玲珑可爱型的，颜色好看，麦克风打开减轻声带负担，棒棒哒！,Microphone Quality,好评,0.9,麦克风打开减轻声带负担,78d447b9-edd4-4477-8008-4a7d1be5112e
